project_num,project_name,SowKey
363217,AVP - 2019 Website,American Vision Partners - Full Webiste Build SOW - 12.17.18
423656,AVP - In Account Growth,
369325,AVP - Non-billable,
394428,AVP - Social Influencer,SOW_ LaneTerralever_ American Vision Partners - Social Influencer Summer  2019
378810,AVP - Voice Search,
420488,AVP - Website Enhancement,SOW_ LaneTerralever _ American Vision Partners _ SWeye.com Website Redesign
378066,AVP- 2019 Creative,SOW_ LaneTerralever _ American Vision Partners _ Cataract Creative Concepting
460572,AXON | Brand and Creative,
472883,AXON | Fusion Video,
470442,AXON | RSUs Video,
480503,AZ Attorney General | Human Trafficking Campaign,
37618,AZ Cardinals Holiday card,
12901,Az Cardinals Holiday Wish,
297321,AZ DCS - 2018 Retainer,
343667,AZ DCS - 2018/2019 Retainer,
355092,AZ DCS - Marketing and Communications,
302241,AZ DCS - Non-Billable,
278239,AZ Dept of Child Services - General PR Retainer - 2017,
277022,AZ Dept of Child Services - Video Project,
205257,AZ Envelope Nat'l Build,AZ Envelope National Website Build SOW - 01.27.17
98239,AZ Lottery - Video Projects ~,
124679,AZ Lottery RFP Mar/Apr 2016,
467380,AZ Milk Producers Sales - 2020,
466823,AZ Milk | Scholarship Contest,SOW_ LaneTerralever AMP Scholarship Contest
137029,AZ Statewide Marketing RFP,
137786,AZ Statewide Marketing RFP - WS1,
33375,AZ Super Bowl Host Committee website,
297467,AZ Tile - 2018 Dev Site Maintenance,
263085,AZ Tile - Maintenance (June 2017),
303192,AZ Tile - Mobile App Build,AZ Tile Mobile App Build SOW - 02.01.18
147720,AZ Tile - Sales,
245361,AZ Tile - Sitecore Upgrade,
105744,AZ Tile - Website Maintenance,AZ Tile Website Maintenance SOW - 2016 - 12.23.15
293796,AZ Tile Site Maintenance: Revenue Forecasting,
591555,AZ Tile Website Maintenance 2023,
534601,AZ Tile | ADA Testing 2021/2022,
530865,AZ Tile | Website and App maintenance 2022,
359923,AZ Tile: 2019 Dev Site Maintenance,
430664,AZ Tile: 2020 Dev Site Maintenance,
487714,AZ Tile: 2021 Sitecore Dev Site Maintenance,
286300,AZ Tile: ADA Work (Oct. 2017),
349769,AZ Tile: App Build - Phase 2,SOW_ Arizona Tile Phase 2 App Updates
438994,AZ Tile: App Code Rebuild & Home Screen Update,AZ Tile - App Code Rebuild & Home Screen Update SOW
425482,AZ Tile: App Rebuild,
